Day Type Name,division,delays,line,Month Name,reporting_category,Year,Quarter,month_date
Weekday,A DIVISION,1,GS,April,Crew Availability,2023,Qtr 2,2023-04-01
Weekday,A DIVISION,1,GS,August,Crew Availability,2020,Qtr 3,2020-08-01
Weekday,A DIVISION,1,GS,December,Crew Availability,2022,Qtr 4,2022-12-01
Weekday,A DIVISION,1,GS,February,Crew Availability,2023,Qtr 1,2023-02-01
Weekday,A DIVISION,1,GS,March,Crew Availability,2024,Qtr 1,2024-03-01
Weekday,A DIVISION,1,GS,May,Crew Availability,2021,Qtr 2,2021-05-01
Weekday,A DIVISION,1,GS,May,Crew Availability,2022,Qtr 2,2022-05-01
Weekday,A DIVISION,1,GS,October,Crew Availability,2022,Qtr 4,2022-10-01
Weekday,A DIVISION,1,GS,October,Crew Availability,2023,Qtr 4,2023-10-01
Weekday,A DIVISION,2,3,May,Crew Availability,2020,Qtr 2,2020-05-01
Weekday,A DIVISION,2,5,May,Crew Availability,2020,Qtr 2,2020-05-01
Weekday,A DIVISION,2,GS,December,Crew Availability,2020,Qtr 4,2020-12-01
Weekday,A DIVISION,2,GS,February,Crew Availability,2022,Qtr 1,2022-02-01
Weekday,A DIVISION,2,GS,July,Crew Availability,2022,Qtr 3,2022-07-01
Weekday,A DIVISION,2,GS,June,Crew Availability,2023,Qtr 2,2023-06-01
Weekday,A DIVISION,2,GS,March,Crew Availability,2020,Qtr 1,2020-03-01
Weekday,A DIVISION,2,GS,May,Crew Availability,2023,Qtr 2,2023-05-01
Weekday,A DIVISION,3,1,May,Crew Availability,2020,Qtr 2,2020-05-01
Weekday,A DIVISION,3,GS,August,Crew Availability,2024,Qtr 3,2024-08-01
Weekday,A DIVISION,3,GS,March,Crew Availability,2023,Qtr 1,2023-03-01
Weekday,A DIVISION,3,GS,May,Crew Availability,2024,Qtr 2,2024-05-01
Weekday,A DIVISION,4,GS,December,Crew Availability,2021,Qtr 4,2021-12-01
Weekday,A DIVISION,4,GS,October,Crew Availability,2021,Qtr 4,2021-10-01
Weekday,A DIVISION,5,3,February,Crew Availability,2020,Qtr 1,2020-02-01
Weekday,A DIVISION,5,5,January,Crew Availability,2020,Qtr 1,2020-01-01
Weekday,A DIVISION,6,5,January,Crew Availability,2023,Qtr 1,2023-01-01
Weekday,A DIVISION,6,6,February,Crew Availability,2020,Qtr 1,2020-02-01
Weekday,A DIVISION,6,7,January,Crew Availability,2020,Qtr 1,2020-01-01
Weekday,A DIVISION,6,GS,April,Crew Availability,2021,Qtr 2,2021-04-01
Weekday,A DIVISION,8,3,January,Crew Availability,2020,Qtr 1,2020-01-01
Weekday,A DIVISION,8,3,September,Crew Availability,2024,Qtr 3,2024-09-01
Weekday,A DIVISION,8,4,February,Crew Availability,2020,Qtr 1,2020-02-01
Weekday,A DIVISION,8,GS,November,Crew Availability,2023,Qtr 4,2023-11-01
Weekday,A DIVISION,9,2,May,Crew Availability,2020,Qtr 2,2020-05-01
Weekday,A DIVISION,10,4,May,Crew Availability,2020,Qtr 2,2020-05-01
Weekday,A DIVISION,11,1,January,Crew Availability,2023,Qtr 1,2023-01-01
Weekday,A DIVISION,11,5,April,Crew Availability,2020,Qtr 2,2020-04-01
Weekday,A DIVISION,11,5,February,Crew Availability,2020,Qtr 1,2020-02-01
Weekday,A DIVISION,11,7,February,Crew Availability,2020,Qtr 1,2020-02-01
Weekday,A DIVISION,12,2,February,Crew Availability,2020,Qtr 1,2020-02-01
Weekday,A DIVISION,12,2,January,Crew Availability,2020,Qtr 1,2020-01-01
Weekday,A DIVISION,12,5,January,Crew Availability,2025,Qtr 1,2025-01-01
Weekday,A DIVISION,13,1,February,Crew Availability,2020,Qtr 1,2020-02-01
Weekday,A DIVISION,13,4,January,Crew Availability,2023,Qtr 1,2023-01-01
Weekday,A DIVISION,14,4,March,Crew Availability,2020,Qtr 1,2020-03-01
Weekday,A DIVISION,14,5,March,Crew Availability,2020,Qtr 1,2020-03-01
Weekday,A DIVISION,14,6,January,Crew Availability,2020,Qtr 1,2020-01-01
Weekday,A DIVISION,14,GS,June,Crew Availability,2022,Qtr 2,2022-06-01
Weekday,A DIVISION,15,3,January,Crew Availability,2023,Qtr 1,2023-01-01
Weekday,A DIVISION,17,1,January,Crew Availability,2020,Qtr 1,2020-01-01
Weekday,A DIVISION,18,4,January,Crew Availability,2020,Qtr 1,2020-01-01
Weekday,A DIVISION,21,4,September,Crew Availability,2024,Qtr 3,2024-09-01
Weekday,A DIVISION,21,5,November,Crew Availability,2022,Qtr 4,2022-11-01
Weekday,A DIVISION,21,5,November,Crew Availability,2024,Qtr 4,2024-11-01
Weekday,A DIVISION,22,4,January,Crew Availability,2025,Qtr 1,2025-01-01
Weekday,A DIVISION,22,5,April,Crew Availability,2023,Qtr 2,2023-04-01
Weekday,A DIVISION,22,6,January,Crew Availability,2025,Qtr 1,2025-01-01
Weekday,A DIVISION,22,7,September,Crew Availability,2024,Qtr 3,2024-09-01
Weekday,A DIVISION,23,3,March,Crew Availability,2023,Qtr 1,2023-03-01
Weekday,A DIVISION,23,6,January,Crew Availability,2023,Qtr 1,2023-01-01
Weekday,A DIVISION,24,4,February,Crew Availability,2025,Qtr 1,2025-02-01
Weekday,A DIVISION,25,5,March,Crew Availability,2024,Qtr 1,2024-03-01
Weekday,A DIVISION,26,3,November,Crew Availability,2024,Qtr 4,2024-11-01
Weekday,A DIVISION,26,6,April,Crew Availability,2023,Qtr 2,2023-04-01
Weekday,A DIVISION,27,3,April,Crew Availability,2024,Qtr 2,2024-04-01
Weekday,A DIVISION,27,5,March,Crew Availability,2025,Qtr 1,2025-03-01
Weekday,A DIVISION,28,3,October,Crew Availability,2024,Qtr 4,2024-10-01
Weekday,A DIVISION,28,5,May,Crew Availability,2024,Qtr 2,2024-05-01
Weekday,A DIVISION,28,6,November,Crew Availability,2024,Qtr 4,2024-11-01
Weekday,A DIVISION,30,5,March,Crew Availability,2023,Qtr 1,2023-03-01
Weekday,A DIVISION,31,1,February,Crew Availability,2025,Qtr 1,2025-02-01
Weekday,A DIVISION,31,3,April,Crew Availability,2025,Qtr 2,2025-04-01
Weekday,A DIVISION,31,3,January,Crew Availability,2024,Qtr 1,2024-01-01
Weekday,A DIVISION,31,3,March,Crew Availability,2020,Qtr 1,2020-03-01
Weekday,A DIVISION,31,3,March,Crew Availability,2024,Qtr 1,2024-03-01
Weekday,A DIVISION,31,5,April,Crew Availability,2025,Qtr 2,2025-04-01
Weekday,A DIVISION,31,5,September,Crew Availability,2024,Qtr 3,2024-09-01
Weekday,A DIVISION,32,3,February,Crew Availability,2023,Qtr 1,2023-02-01
Weekday,A DIVISION,32,4,May,Crew Availability,2024,Qtr 2,2024-05-01
Weekday,A DIVISION,33,3,January,Crew Availability,2025,Qtr 1,2025-01-01
Weekday,A DIVISION,33,4,November,Crew Availability,2024,Qtr 4,2024-11-01
Weekday,A DIVISION,33,5,January,Crew Availability,2024,Qtr 1,2024-01-01
Weekday,A DIVISION,34,3,April,Crew Availability,2023,Qtr 2,2023-04-01
Weekday,A DIVISION,34,5,October,Crew Availability,2024,Qtr 4,2024-10-01
Weekday,A DIVISION,34,7,January,Crew Availability,2023,Qtr 1,2023-01-01
Weekday,A DIVISION,35,2,November,Crew Availability,2024,Qtr 4,2024-11-01
Weekday,A DIVISION,36,2,April,Crew Availability,2023,Qtr 2,2023-04-01
Weekday,A DIVISION,36,2,April,Crew Availability,2024,Qtr 2,2024-04-01
Weekday,A DIVISION,36,2,January,Crew Availability,2025,Qtr 1,2025-01-01
Weekday,A DIVISION,36,4,April,Crew Availability,2024,Qtr 2,2024-04-01
Weekday,A DIVISION,37,5,February,Crew Availability,2025,Qtr 1,2025-02-01
Weekday,A DIVISION,37,5,June,Crew Availability,2020,Qtr 2,2020-06-01
Weekday,A DIVISION,38,2,March,Crew Availability,2020,Qtr 1,2020-03-01
Weekday,A DIVISION,38,5,April,Crew Availability,2024,Qtr 2,2024-04-01
Weekday,A DIVISION,38,5,December,Crew Availability,2024,Qtr 4,2024-12-01
Weekday,A DIVISION,38,5,May,Crew Availability,2025,Qtr 2,2025-05-01
Weekday,A DIVISION,39,3,February,Crew Availability,2025,Qtr 1,2025-02-01
Weekday,A DIVISION,39,6,March,Crew Availability,2024,Qtr 1,2024-03-01
Weekday,A DIVISION,39,6,September,Crew Availability,2024,Qtr 3,2024-09-01
Weekday,A DIVISION,40,4,November,Crew Availability,2022,Qtr 4,2022-11-01
Weekday,A DIVISION,42,2,January,Crew Availability,2023,Qtr 1,2023-01-01
Weekday,A DIVISION,42,7,March,Crew Availability,2024,Qtr 1,2024-03-01
Weekday,A DIVISION,43,2,March,Crew Availability,2024,Qtr 1,2024-03-01
Weekday,A DIVISION,44,1,March,Crew Availability,2024,Qtr 1,2024-03-01
Weekday,A DIVISION,44,4,October,Crew Availability,2024,Qtr 4,2024-10-01
Weekday,A DIVISION,44,5,July,Crew Availability,2023,Qtr 3,2023-07-01
Weekday,A DIVISION,44,5,June,Crew Availability,2024,Qtr 2,2024-06-01
Weekday,A DIVISION,45,2,September,Crew Availability,2024,Qtr 3,2024-09-01
Weekday,A DIVISION,45,3,December,Crew Availability,2024,Qtr 4,2024-12-01
Weekday,A DIVISION,45,3,March,Crew Availability,2025,Qtr 1,2025-03-01
Weekday,A DIVISION,45,3,May,Crew Availability,2024,Qtr 2,2024-05-01
Weekday,A DIVISION,45,4,April,Crew Availability,2023,Qtr 2,2023-04-01
Weekday,A DIVISION,46,1,March,Crew Availability,2023,Qtr 1,2023-03-01
Weekday,A DIVISION,46,1,September,Crew Availability,2024,Qtr 3,2024-09-01
Weekday,A DIVISION,46,5,July,Crew Availability,2020,Qtr 3,2020-07-01
Weekday,A DIVISION,46,5,June,Crew Availability,2023,Qtr 2,2023-06-01
Weekday,A DIVISION,46,6,February,Crew Availability,2025,Qtr 1,2025-02-01
Weekday,A DIVISION,47,5,February,Crew Availability,2022,Qtr 1,2022-02-01
Weekday,A DIVISION,47,5,February,Crew Availability,2024,Qtr 1,2024-02-01
Weekday,A DIVISION,47,5,May,Crew Availability,2023,Qtr 2,2023-05-01
Weekday,A DIVISION,48,2,July,Crew Availability,2023,Qtr 3,2023-07-01
Weekday,A DIVISION,48,5,March,Crew Availability,2022,Qtr 1,2022-03-01
Weekday,A DIVISION,48,6,October,Crew Availability,2024,Qtr 4,2024-10-01
Weekday,A DIVISION,49,1,April,Crew Availability,2024,Qtr 2,2024-04-01
Weekday,A DIVISION,49,4,December,Crew Availability,2022,Qtr 4,2022-12-01
Weekday,A DIVISION,49,5,December,Crew Availability,2022,Qtr 4,2022-12-01
Weekday,A DIVISION,49,6,May,Crew Availability,2024,Qtr 2,2024-05-01
Weekday,A DIVISION,50,1,May,Crew Availability,2024,Qtr 2,2024-05-01
Weekday,A DIVISION,50,1,November,Crew Availability,2024,Qtr 4,2024-11-01
Weekday,A DIVISION,50,3,November,Crew Availability,2022,Qtr 4,2022-11-01
Weekday,A DIVISION,50,4,July,Crew Availability,2023,Qtr 3,2023-07-01
Weekday,A DIVISION,50,7,April,Crew Availability,2023,Qtr 2,2023-04-01
Weekday,A DIVISION,52,1,February,Crew Availability,2023,Qtr 1,2023-02-01
Weekday,A DIVISION,52,2,January,Crew Availability,2024,Qtr 1,2024-01-01
Weekday,A DIVISION,52,6,December,Crew Availability,2022,Qtr 4,2022-12-01
Weekday,A DIVISION,52,7,November,Crew Availability,2024,Qtr 4,2024-11-01
Weekday,A DIVISION,53,1,March,Crew Availability,2020,Qtr 1,2020-03-01
Weekday,A DIVISION,53,3,July,Crew Availability,2023,Qtr 3,2023-07-01
Weekday,A DIVISION,53,4,May,Crew Availability,2025,Qtr 2,2025-05-01
Weekday,A DIVISION,53,5,February,Crew Availability,2023,Qtr 1,2023-02-01
Weekday,A DIVISION,54,4,March,Crew Availability,2023,Qtr 1,2023-03-01
Weekday,A DIVISION,55,4,January,Crew Availability,2024,Qtr 1,2024-01-01
Weekday,A DIVISION,56,2,October,Crew Availability,2024,Qtr 4,2024-10-01
Weekday,A DIVISION,56,3,May,Crew Availability,2025,Qtr 2,2025-05-01
Weekday,A DIVISION,56,4,March,Crew Availability,2024,Qtr 1,2024-03-01
Weekday,A DIVISION,56,5,July,Crew Availability,2022,Qtr 3,2022-07-01
Weekday,A DIVISION,56,6,November,Crew Availability,2022,Qtr 4,2022-11-01
Weekday,A DIVISION,57,1,January,Crew Availability,2025,Qtr 1,2025-01-01
Weekday,A DIVISION,57,2,March,Crew Availability,2023,Qtr 1,2023-03-01
Weekday,A DIVISION,57,4,February,Crew Availability,2023,Qtr 1,2023-02-01
Weekday,A DIVISION,58,2,February,Crew Availability,2023,Qtr 1,2023-02-01
Weekday,A DIVISION,58,6,March,Crew Availability,2023,Qtr 1,2023-03-01
Weekday,A DIVISION,58,7,February,Crew Availability,2023,Qtr 1,2023-02-01
Weekday,A DIVISION,58,7,January,Crew Availability,2025,Qtr 1,2025-01-01
